config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 16 14 0
(10+2)(17+3) 57600 16 15 0
(10+2)(17+3) 57600 16 16 0
(10+2)(17+3) 57600 17 1 0
(10+2)(17+3) 57600 17 2 0
(10+2)(17+3) 57600 17 3 0.0000015929528533297349286135984148589012063148257485595657804306952892396314244022853241545338986915
(10+2)(17+3) 57600 17 4 1.867854729236794687934957738128939257772702645157340757955041312808615927798825903863894286608E-7
(10+2)(17+3) 57600 17 5 2.17723373767611094419986383154342062223803791969064647963558902370766083271087621806647052381E-8
(10+2)(17+3) 57600 17 6 2.3858987842476734098470191372896344256558228268692025830131544065333870595928983819870231365E-9
(10+2)(17+3) 57600 17 7 2.127851758966706736644438475336024540326744122256156273942486937742168131081148864755331090E-10
(10+2)(17+3) 57600 17 8 1.13761408532942323156484256219121532750484453939407246013609483581728409152512262729600411E-11
(10+2)(17+3) 57600 17 9 0
(10+2)(17+3) 57600 17 10 0
(10+2)(17+3) 57600 17 11 0
(10+2)(17+3) 57600 17 12 0
(10+2)(17+3) 57600 17 13 0
(10+2)(17+3) 57600 17 14 0
(10+2)(17+3) 57600 17 15 0
(10+2)(17+3) 57600 17 16 0
(10+2)(17+3) 57600 17 17 0
(10+2)(17+3) 57600 18 1 0
(10+2)(17+3) 57600 18 2 0
(10+2)(17+3) 57600 18 3 0.0000043117108909391659107945353702473069151109739258930706246828356074712996247519337487315916959376
(10+2)(17+3) 57600 18 4 5.520829179006656287386132398813833369190826060448713082525031814395095892661271534321222704516E-7
(10+2)(17+3) 57600 18 5 7.34378958225906787834551992463885089278142319559304454962990327958402106600280291390515755263E-8
(10+2)(17+3) 57600 18 6 9.7923916711912438092794854790992884457344288630764084326739882287126668242609203777213461197E-9
(10+2)(17+3) 57600 18 7 1.1913732362714869007588664308169191622906416198221583321359614991274254838952266485344072192E-9
(10+2)(17+3) 57600 18 8 1.151575229800123357865271625588263498649628181690421238010573826198896456556361719026827915E-10
(10+2)(17+3) 57600 18 9 6.5587326943085614403613084171637877142034471335596992432776687716234533900097771134415883E-12
(10+2)(17+3) 57600 18 10 0
(10+2)(17+3) 57600 18 11 0
(10+2)(17+3) 57600 18 12 0
(10+2)(17+3) 57600 18 13 0
(10+2)(17+3) 57600 18 14 0
(10+2)(17+3) 57600 18 15 0
(10+2)(17+3) 57600 18 16 0
(10+2)(17+3) 57600 18 17 0
(10+2)(17+3) 57600 18 18 0
(10+2)(17+3) 57600 19 1 0
(10+2)(17+3) 57600 19 2 0
(10+2)(17+3) 57600 19 3 0.0000105601463184906795605548032428776317625437834666981445560965282490871523145133249410698858822614
(10+2)(17+3) 57600 19 4 0.0000014481045242421003307959758899653720682205924887935434960802865139772949389566109975968846052656
(10+2)(17+3) 57600 19 5 2.124949386481825604153681140070836397412510052652527856334372951056969676087183789528515479658E-7
