config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 17 1 0
(10+2)(17+3) 57600 17 2 0
(10+2)(17+3) 57600 17 3 1.5324819293094812749829138157948425420735123438252504231000917093949584345623194013E-18
(10+2)(17+3) 57600 17 4 1.549848530964400940796568655582104952751673074091989966803224810537084046194586371E-19
(10+2)(17+3) 57600 17 5 1.63084838092289612019470452978716411594154905164513562044155813090152645601732332E-20
(10+2)(17+3) 57600 17 6 1.6536484991921498815881937527100241037103034594886732015519203979524926158786646E-21
(10+2)(17+3) 57600 17 7 1.385737327906607708191729532651923728208361283990811519104742298617840038218174E-22
(10+2)(17+3) 57600 17 8 7.0340549514811987860938492794837238023274747590080896987979109932430503489001E-24
(10+2)(17+3) 57600 17 9 0
(10+2)(17+3) 57600 17 10 0
(10+2)(17+3) 57600 17 11 0
(10+2)(17+3) 57600 17 12 0
(10+2)(17+3) 57600 17 13 0
(10+2)(17+3) 57600 17 14 0
(10+2)(17+3) 57600 17 15 0
(10+2)(17+3) 57600 17 16 0
(10+2)(17+3) 57600 17 17 0
(10+2)(17+3) 57600 18 1 0
(10+2)(17+3) 57600 18 2 0
(10+2)(17+3) 57600 18 3 4.5313276595922367691609906518533161955509175822362783260378896861285544954156831407E-18
(10+2)(17+3) 57600 18 4 4.917654321461380308842088124843080657082193805982410156240391645689124214725557308E-19
(10+2)(17+3) 57600 18 5 5.84781456795932885014957367980315682245667670754837612666853884183822522269566158E-20
(10+2)(17+3) 57600 18 6 7.1696286429419562811534808470448498793713692303817416794485492864667244183955349E-21
(10+2)(17+3) 57600 18 7 8.159428651575384349065308596248441185886216267779635340913864089374555804300985E-22
(10+2)(17+3) 57600 18 8 7.46304126422087081616342350717806805937580161144530559168380840455262715276860E-23
(10+2)(17+3) 57600 18 9 4.0553722724418819005931906432569576113449818875184194435385688165116676996324E-24
(10+2)(17+3) 57600 18 10 0
(10+2)(17+3) 57600 18 11 0
(10+2)(17+3) 57600 18 12 0
(10+2)(17+3) 57600 18 13 0
(10+2)(17+3) 57600 18 14 0
(10+2)(17+3) 57600 18 15 0
(10+2)(17+3) 57600 18 16 0
(10+2)(17+3) 57600 18 17 0
(10+2)(17+3) 57600 18 18 0
(10+2)(17+3) 57600 19 1 0
(10+2)(17+3) 57600 19 2 0
(10+2)(17+3) 57600 19 3 1.21264862773739610819505643207896039551788959012934113930916818838907396483901822333E-17
(10+2)(17+3) 57600 19 4 1.3836692004877106443000154851229884744734673598717694063303816334048226209697657820E-18
(10+2)(17+3) 57600 19 5 1.796766284524947666644439159205198408753423973439715174343183166607349324602565756E-19
(10+2)(17+3) 57600 19 6 2.51390043501251274477424162725044635178728711251137792874245326865733527231240198E-20
(10+2)(17+3) 57600 19 7 3.4794660188832246004870238034923706086085891896516386208047751773456674089726500E-21
(10+2)(17+3) 57600 19 8 4.338099547208767883604944169726600998417364559450438314983629971192353814461011E-22
(10+2)(17+3) 57600 19 9 4.25814233974139912916096661078160069842265014938330710138610217161848663901015E-23
(10+2)(17+3) 57600 19 10 2.4475089791370320736000795942939633320919400659334026798339361831852746089708E-24
(10+2)(17+3) 57600 19 11 0
(10+2)(17+3) 57600 19 12 0
(10+2)(17+3) 57600 19 13 0
(10+2)(17+3) 57600 19 14 0
(10+2)(17+3) 57600 19 15 0
(10+2)(17+3) 57600 19 16 0
(10+2)(17+3) 57600 19 17 0
(10+2)(17+3) 57600 19 18 0
(10+2)(17+3) 57600 19 19 0
(10+2)(17+3) 57600 20 1 0
(10+2)(17+3) 57600 20 2 0
(10+2)(17+3) 57600 20 3 2.98968289270017728266964302881862085017079285943244537073915012584503375851748384176E-17
(10+2)(17+3) 57600 20 4 3.5383054791470899047156852843594646644396183175848530787732526476459886794342326360E-18
(10+2)(17+3) 57600 20 5 4.906378801045098094350049784120012321293593366086991327187865448044911147774861293E-19
(10+2)(17+3) 57600 20 6 7.56425444708645017728232039695277974346707783367946120013724242666479413398527474E-20
(10+2)(17+3) 57600 20 7 1.20132442953704622501362518659367010776375782243617124884597319956315077778341047E-20
(10+2)(17+3) 57600 20 8 1.8279668394181135478049534705230197552163844800737014449309015940745525606553504E-21
(10+2)(17+3) 57600 20 9 2.451546082273792063336614484857040204472188080581107119693600768431626066345492E-22
(10+2)(17+3) 57600 20 10 2.54954674627402383334329732839705553605162076756352000225368582332178370676733E-23
(10+2)(17+3) 57600 20 11 1.5358315092685840182823219951033586852608295952188391776594310434655191052396E-24
(10+2)(17+3) 57600 20 12 0
(10+2)(17+3) 57600 20 13 0
(10+2)(17+3) 57600 20 14 0
(10+2)(17+3) 57600 20 15 0
(10+2)(17+3) 57600 20 16 0
(10+2)(17+3) 57600 20 17 0
(10+2)(17+3) 57600 20 18 0
(10+2)(17+3) 57600 20 19 0
(10+2)(17+3) 57600 20 20 0
(10+2)(17+3) 57600 21 1 0
(10+2)(17+3) 57600 21 2 0
(10+2)(17+3) 57600 21 3 6.88043289474579174920621159211941273547752589766154689742803778635703942768110111221E-17
(10+2)(17+3) 57600 21 4 8.3679231406406714959281730569841766161914811988778017613578331653668718314427934896E-18
(10+2)(17+3) 57600 21 5 1.2200721731572038824531494154461075435053046288159760287038272004612349975856386282E-18
(10+2)(17+3) 57600 21 6 2.025434919201876724782647651085477197351566414011500179342062064214435189155337501E-19
(10+2)(17+3) 57600 21 7 3.56283845692496895209321867023562978778801973267503678789793080244943104714123925E-20
(10+2)(17+3) 57600 21 8 6.2413121865119830271152474221581845881314510856735108317632158163090542750741988E-21
(10+2)(17+3) 57600 21 9 1.0238613556376652668978642596922160328718621591815935149846491398784098456900062E-21
(10+2)(17+3) 57600 21 10 1.457122747950260989036139448616897992153768648595494988229147866479241156034311E-22
(10+2)(17+3) 57600 21 11 1.58996539552865180108191594771273025069948326556483683607867621524641708677349E-23
(10+2)(17+3) 57600 21 12 9.965858829364004847597311122115196835722186320349796081895104290110387392743E-25
(10+2)(17+3) 57600 21 13 0
(10+2)(17+3) 57600 21 14 0
(10+2)(17+3) 57600 21 15 0
(10+2)(17+3) 57600 21 16 0
(10+2)(17+3) 57600 21 17 0
(10+2)(17+3) 57600 21 18 0
(10+2)(17+3) 57600 21 19 0
(10+2)(17+3) 57600 21 20 0
(10+2)(17+3) 57600 21 21 0
(10+2)(17+3) 57600 22 1 0
(10+2)(17+3) 57600 22 2 0
(10+2)(17+3) 57600 22 3 1.493119063447092246728749676433304073608405887632054260389781636049760125427768348836E-16
(10+2)(17+3) 57600 22 4 1.85392825257454657947236080978378575905667265091027146319548364870387650584038688246E-17
(10+2)(17+3) 57600 22 5 2.8109428491599584674970556345812155269463206876630005972793514054784385817731395955E-18
(10+2)(17+3) 57600 22 6 4.944448881079948826423927207234600180913791994570197431112087908770990697155757076E-19
(10+2)(17+3) 57600 22 7 9.41079510696458824592528578515444559021898900122965004693167882474884949787211702E-20
(10+2)(17+3) 57600 22 8 1.83172861163005563639272837798654492818983348737524804182961830108018234436279108E-20
(10+2)(17+3) 57600 22 9 3.4667931488547738674762454311033578902716213761928175256016024862166004714675638E-21
(10+2)(17+3) 57600 22 10 6.044069269009408684225355539227058050345370330415932379330490818588962368662562E-22
(10+2)(17+3) 57600 22 11 9.03494828365760277374597881583830277917643251658472420760962346503543589108144E-23
(10+2)(17+3) 57600 22 12 1.02663125621912015974324856773367968971970104087689265494396138691344813663035E-23
(10+2)(17+3) 57600 22 13 6.657511390977440248499900798996037446034662656511440079039682263075037664329E-25
(10+2)(17+3) 57600 22 14 0
(10+2)(17+3) 57600 22 15 0
(10+2)(17+3) 57600 22 16 0
(10+2)(17+3) 57600 22 17 0
(10+2)(17+3) 57600 22 18 0
(10+2)(17+3) 57600 22 19 0
(10+2)(17+3) 57600 22 20 0
(10+2)(17+3) 57600 22 21 0
(10+2)(17+3) 57600 22 22 0
(10+2)(17+3) 57600 23 1 0
(10+2)(17+3) 57600 23 2 0
(10+2)(17+3) 57600 23 3 3.079735360721677491957822542744955516799320698452222681530565607131280682458184225699E-16
(10+2)(17+3) 57600 23 4 3.88586039900818730269880561961974741696377585806195955875217438006964121540133627459E-17
(10+2)(17+3) 57600 23 5 6.0769327866905430467338267787045336151687908959405274691398411006511208908696170297E-18
(10+2)(17+3) 57600 23 6 1.1194251923476036026544741964562902762274453029039863869166354512807647556650956482E-18
(10+2)(17+3) 57600 23 7 2.267851781417647326690486382340330424759443813931344072208218985183806747454449103E-19
(10+2)(17+3) 57600 23 8 4.79055893014884186350978880885198704312313357114238447362659960612561323402857491E-20
(10+2)(17+3) 57600 23 9 1.00948392654444757658889179290870518177218717273844544969978923572896201910830679E-20
(10+2)(17+3) 57600 23 10 2.0334374556800401147462967672378393345220595121730186975318989717945939031323683E-21
(10+2)(17+3) 57600 23 11 3.727600034734981730885701439968704256086315525957602753949201222010966991789387E-22
(10+2)(17+3) 57600 23 12 5.80712918209814092388382325671509650486219523014042608332363059934083774757066E-23
(10+2)(17+3) 57600 23 13 6.8308943257048735394083165303935068619522942122745281963112327866909441023823E-24
(10+2)(17+3) 57600 23 14 4.562033637375826194493846640797441609538562584280666165890561308369466017565E-25
(10+2)(17+3) 57600 23 15 0
(10+2)(17+3) 57600 23 16 0
(10+2)(17+3) 57600 23 17 0
(10+2)(17+3) 57600 23 18 0
(10+2)(17+3) 57600 23 19 0
(10+2)(17+3) 57600 23 20 0
(10+2)(17+3) 57600 23 21 0
(10+2)(17+3) 57600 23 22 0
(10+2)(17+3) 57600 23 23 0
(10+2)(17+3) 57600 24 1 0
(10+2)(17+3) 57600 24 2 0
(10+2)(17+3) 57600 24 3 6.076387917680275544491539867570760875569945906940291132340196549433999330257494637253E-16
(10+2)(17+3) 57600 24 4 7.76491680507588913019913795868406781158235741324853913261785740864203577485127019032E-17
(10+2)(17+3) 57600 24 5 1.24477417077793429515553999926319232607610122645565619345950350373885664242162622107E-17
(10+2)(17+3) 57600 24 6 2.3802779510931364711031267133562518014511238545003749151378551468150758202129537871E-18
(10+2)(17+3) 57600 24 7 5.071674398767357129935141307182805947425735058639530898530072161319939600502192159E-19
(10+2)(17+3) 57600 24 8 1.143613465170150303605585828957689719330499521006611586660538102733651001127213181E-19
(10+2)(17+3) 57600 24 9 2.62050822435091722897122906317389267866785300350340417528582547603582339737243812E-20
(10+2)(17+3) 57600 24 10 5.8853144727889629948117613557775652745962890122362957880029071200760738352149464E-21
(10+2)(17+3) 57600 24 11 1.2477827850779219534762532122785003365179860795389171253140276542766987267387074E-21
(10+2)(17+3) 57600 24 12 2.385621907061048628211994207942470797746177825756589015229303673996844904234709E-22
(10+2)(17+3) 57600 24 13 3.84955265986839231128072659236546876190827004980322697411525813300268737968097E-23
(10+2)(17+3) 57600 24 14 4.6655439260481805603906154775404128182129143854932445444525500563677161124858E-24
(10+2)(17+3) 57600 24 15 3.197059992282854748337876894889411833132457327540193099538358177415603359571E-25
(10+2)(17+3) 57600 24 16 0
(10+2)(17+3) 57600 24 17 0
(10+2)(17+3) 57600 24 18 0
(10+2)(17+3) 57600 24 19 0
(10+2)(17+3) 57600 24 20 0
(10+2)(17+3) 57600 24 21 0
(10+2)(17+3) 57600 24 22 0
(10+2)(17+3) 57600 24 23 0
(10+2)(17+3) 57600 24 24 0
(10+2)(17+3) 57600 25 1 0
(10+2)(17+3) 57600 25 2 0
(10+2)(17+3) 57600 25 3 1.1528059328853648047248363270581399587483004347509811206164736937925518333955254117661E-15
(10+2)(17+3) 57600 25 4 1.488348786637484819569791190922088468380177332129452241244280347826683868434892284511E-16
(10+2)(17+3) 57600 25 5 2.43420723108150160841548287801475241760193477905392440536441840275296821920648400780E-17
(10+2)(17+3) 57600 25 6 4.7993928380222154105939343053683192692795490105352033894172272957419620289024066150E-18
(10+2)(17+3) 57600 25 7 1.0658155654555391841454567398634687788684823374802716469439400012210031719456231050E-18
(10+2)(17+3) 57600 25 8 2.534555226225217860511611560169408175693290073382194465832961397539792141105486751E-19
(10+2)(17+3) 57600 25 9 6.21138305480220049050845255912597568738953456904802163511532267750139806720316642E-20
(10+2)(17+3) 57600 25 10 1.51897930816007748633057432415963801554462312625595013130028288529020171764886204E-20
(10+2)(17+3) 57600 25 11 3.5941953340695892038635884343788080977946206997210939177710649787520291357533872E-21
(10+2)(17+3) 57600 25 12 7.953425027957971912137542840780543873603796152014342154027245386524190290278027E-22
(10+2)(17+3) 57600 25 13 1.575926262115041790787635133035232258966023315536880187059561907837177068600046E-22
(10+2)(17+3) 57600 25 14 2.62124747758157918883059561278104725750197250499988468307956417797660003849563E-23
(10+2)(17+3) 57600 25 15 3.2607287444446403690490117831828751254623637954203228164955739805509326476314E-24
(10+2)(17+3) 57600 25 16 2.285600534455722007997480972679111616081410637847559689800219386340904455586E-25
(10+2)(17+3) 57600 25 17 0
(10+2)(17+3) 57600 25 18 0
(10+2)(17+3) 57600 25 19 0
(10+2)(17+3) 57600 25 20 0
(10+2)(17+3) 57600 25 21 0
(10+2)(17+3) 57600 25 22 0
(10+2)(17+3) 57600 25 23 0
(10+2)(17+3) 57600 25 24 0
(10+2)(17+3) 57600 25 25 0
(10+2)(17+3) 57600 26 1 0
(10+2)(17+3) 57600 26 2 0
(10+2)(17+3) 57600 26 3 2.1121430232219209155489767054718600068599376486295989284183317093785343978222248355484E-15
(10+2)(17+3) 57600 26 4 2.750128745527356800421524790052637406337586986096998403302268096469416060379649093484E-16
(10+2)(17+3) 57600 26 5 4.57200198747411441998669426219139848694989148461261567630182467591888157894778104786E-17
(10+2)(17+3) 57600 26 6 9.2454501229847648562943567333644461803008727436366303117935381265422269489006263235E-18
(10+2)(17+3) 57600 26 7 2.1249637150093639806124803243733897210895350733978002655474673951715190010815902780E-18
(10+2)(17+3) 57600 26 8 5.280512928663438461048224874908931157626259840694766080878630035558645877403817879E-19
(10+2)(17+3) 57600 26 9 1.367250123475962225792879601168535620758069418194893249828470352211608320998953171E-19
(10+2)(17+3) 57600 26 10 3.58063298756631052111010814958891913003880006013384083230744044357207628269305288E-20
(10+2)(17+3) 57600 26 11 9.2343204386467048514023476232897365520705581192967565704103854705045908574796732E-21
(10+2)(17+3) 57600 26 12 2.2821750388058959258033532455616740595802704594824125853070506304045044760571234E-21
(10+2)(17+3) 57600 26 13 5.236696712943432527429272856973549142678524387202834758736915101032324958628610E-22
(10+2)(17+3) 57600 26 14 1.070005361776023049653626470291827200653976038442720339974608784638161490011012E-22
(10+2)(17+3) 57600 26 15 1.82732841424246082473932288563360147973050463117797907252566120156932100323037E-23
(10+2)(17+3) 57600 26 16 2.3258124063257914145703271184340452986265206128606022768487936009187389279142E-24
(10+2)(17+3) 57600 26 17 1.663373574703906616837756241788940093920103481140171456246448169078576982659E-25
(10+2)(17+3) 57600 26 18 0
(10+2)(17+3) 57600 26 19 0
(10+2)(17+3) 57600 26 20 0
(10+2)(17+3) 57600 26 21 0
(10+2)(17+3) 57600 26 22 0
(10+2)(17+3) 57600 26 23 0
(10+2)(17+3) 57600 26 24 0
(10+2)(17+3) 57600 26 25 0
(10+2)(17+3) 57600 26 26 0
(10+2)(17+3) 57600 27 1 0
(10+2)(17+3) 57600 27 2 0
(10+2)(17+3) 57600 27 3 3.7507886596759794017141969320124300874802862276067617747039897217752678770044269802098E-15
(10+2)(17+3) 57600 27 4 4.918842939333278480829326391862324518672565213183426451853893940735086489738857811256E-16
(10+2)(17+3) 57600 27 5 8.28825262499771227339429533152563606537759771591319233881533746094691792798290572678E-17
(10+2)(17+3) 57600 27 6 1.71178686837690523974577110991026278082068688319944606827307950403797356552156797248E-17
