config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 16 14 0
(10+2)(17+3) 57600 16 15 0
(10+2)(17+3) 57600 16 16 0
(10+2)(17+3) 57600 17 1 0
(10+2)(17+3) 57600 17 2 0
(10+2)(17+3) 57600 17 3 8.002617656007947900676758225202724124682804099162060962471499113406187849873979592522133977E-10
(10+2)(17+3) 57600 17 4 9.38220585673322591220211952976742787113696597084697334277618113928078876895437513673299364E-11
(10+2)(17+3) 57600 17 5 1.09356204106937881290084223917369843985517369359525088197242584049946557466751447190830898E-11
(10+2)(17+3) 57600 17 6 1.1983528741746606292152437586839740412320121226421513558018290871505724747736101969725880E-12
(10+2)(17+3) 57600 17 7 1.068744947610761894683702112648682693946987568710627877217606494519097450407868092138581E-13
(10+2)(17+3) 57600 17 8 5.7138346264171425460317742658274440214756036004779720656309555787871333498211704139831E-15
(10+2)(17+3) 57600 17 9 0
(10+2)(17+3) 57600 17 10 0
(10+2)(17+3) 57600 17 11 0
(10+2)(17+3) 57600 17 12 0
(10+2)(17+3) 57600 17 13 0
(10+2)(17+3) 57600 17 14 0
(10+2)(17+3) 57600 17 15 0
(10+2)(17+3) 57600 17 16 0
(10+2)(17+3) 57600 17 17 0
(10+2)(17+3) 57600 18 1 0
(10+2)(17+3) 57600 18 2 0
(10+2)(17+3) 57600 18 3 2.1670112124235007477379981274322749524888121002562777904497275429408205626864519750875253974E-9
(10+2)(17+3) 57600 18 4 2.773547558914639770723041282957698885623864911668398268137324411712464997553828635973445958E-10
(10+2)(17+3) 57600 18 5 3.68877767233519921019813299250780161280019851076815785022296133528479383666573122346297585E-11
(10+2)(17+3) 57600 18 6 4.9184386486192994972362405998075803597855723533768799396183377244258475394254319671524773E-12
(10+2)(17+3) 57600 18 7 5.983847895504436325772360251217357715333256236321842879481834677455472093643836359346909E-13
(10+2)(17+3) 57600 18 8 5.78395653483039749073914554786624163735841156423264612165597242483738540241451404026114E-14
(10+2)(17+3) 57600 18 9 3.2942202858979660945707185394506896942686074695516461351208337817731766551955886656130E-15
(10+2)(17+3) 57600 18 10 0
(10+2)(17+3) 57600 18 11 0
(10+2)(17+3) 57600 18 12 0
(10+2)(17+3) 57600 18 13 0
(10+2)(17+3) 57600 18 14 0
(10+2)(17+3) 57600 18 15 0
(10+2)(17+3) 57600 18 16 0
(10+2)(17+3) 57600 18 17 0
(10+2)(17+3) 57600 18 18 0
(10+2)(17+3) 57600 19 1 0
(10+2)(17+3) 57600 19 2 0
(10+2)(17+3) 57600 19 3 5.3116538362571896275283872925435812503325751958129232161994375962807380988976935133511472958E-9
(10+2)(17+3) 57600 19 4 7.277399017875664294830816555178510904527650757800596196687674668492888134599180609527466210E-10
(10+2)(17+3) 57600 19 5 1.067506318150354583090785414795322576214199187052612307127494274799892960178581988236932553E-10
