config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 16 15 0
(10+2)(17+3) 57600 16 16 0
(10+2)(17+3) 57600 17 1 0
(10+2)(17+3) 57600 17 2 0
(10+2)(17+3) 57600 17 3 1.098411016271037178546078087760765599619419705303660878507128272654668010282205076748607E-13
(10+2)(17+3) 57600 17 4 1.11085906956688165640812137043850535337392382309499163565701080426712370887776140758790E-14
(10+2)(17+3) 57600 17 5 1.1689161655730839502252259410458158509049071747644086194342511366456624563741257281796E-15
(10+2)(17+3) 57600 17 6 1.185258274399879727782474267833328229144900094727730205356126124593823827405524034107E-16
(10+2)(17+3) 57600 17 7 9.9323201686964838858214135032119731156622221554848612457629913164409570902209925078E-18
(10+2)(17+3) 57600 17 8 5.041683185936708892255845704367469979091352846613670319559634915372205722657181189E-19
(10+2)(17+3) 57600 17 9 0
(10+2)(17+3) 57600 17 10 0
(10+2)(17+3) 57600 17 11 0
(10+2)(17+3) 57600 17 12 0
(10+2)(17+3) 57600 17 13 0
(10+2)(17+3) 57600 17 14 0
(10+2)(17+3) 57600 17 15 0
(10+2)(17+3) 57600 17 16 0
(10+2)(17+3) 57600 17 17 0
(10+2)(17+3) 57600 18 1 0
(10+2)(17+3) 57600 18 2 0
(10+2)(17+3) 57600 18 3 3.247838567298334943177658073638080629036085096276924326322750621194780698773053501169254E-13
(10+2)(17+3) 57600 18 4 3.52474331341064424351200486394927096379780114235988453691761194064818402247261436719995E-14
(10+2)(17+3) 57600 18 5 4.1914404287018630395628335861726160255141376947378328627055169433601814855101592436973E-15
(10+2)(17+3) 57600 18 6 5.138855889929401843768972916234040403383913918372021301525232446353448931133549802146E-16
(10+2)(17+3) 57600 18 7 5.84829867313381671988394761651803907823531493504179686934028069758970343938005466501E-17
(10+2)(17+3) 57600 18 8 5.3491606075455855568570441815056323512472654668635350484405045816648566935497844597E-18
(10+2)(17+3) 57600 18 9 2.906702085740569106024007806394828346512354959634438563423437787017922136745394560E-19
(10+2)(17+3) 57600 18 10 0
(10+2)(17+3) 57600 18 11 0
(10+2)(17+3) 57600 18 12 0
(10+2)(17+3) 57600 18 13 0
(10+2)(17+3) 57600 18 14 0
(10+2)(17+3) 57600 18 15 0
(10+2)(17+3) 57600 18 16 0
(10+2)(17+3) 57600 18 17 0
(10+2)(17+3) 57600 18 18 0
(10+2)(17+3) 57600 19 1 0
(10+2)(17+3) 57600 19 2 0
(10+2)(17+3) 57600 19 3 8.691662476442059065799320085773425778828943872286813957823423724399587190938093102152097E-13
(10+2)(17+3) 57600 19 4 9.91747959940195885241569759502649515473990570868045368898759631087049657663824732643109E-14
(10+2)(17+3) 57600 19 5 1.28783762197228838575320381416287709708221065117667167155803101186339586009170592807292E-14
(10+2)(17+3) 57600 19 6 1.8018464681049349032384924894057795589566187990433054317092211533334900135675946697972E-15
(10+2)(17+3) 57600 19 7 2.493919191637606325963429429980488325089483380919048852431397630007135756765323339692E-16
(10+2)(17+3) 57600 19 8 3.10934783662395655631744164164049123023727694433639794559687763439202007919174353612E-17
(10+2)(17+3) 57600 19 9 3.0520382319559123870231144652532768188513926819073650527066571562241431623734614740E-18
(10+2)(17+3) 57600 19 10 1.754260515827486575772747667666978506513863450777994140707504094713951125110264653E-19
(10+2)(17+3) 57600 19 11 0
(10+2)(17+3) 57600 19 12 0
(10+2)(17+3) 57600 19 13 0
(10+2)(17+3) 57600 19 14 0
(10+2)(17+3) 57600 19 15 0
(10+2)(17+3) 57600 19 16 0
(10+2)(17+3) 57600 19 17 0
(10+2)(17+3) 57600 19 18 0
(10+2)(17+3) 57600 19 19 0
(10+2)(17+3) 57600 20 1 0
(10+2)(17+3) 57600 20 2 0
(10+2)(17+3) 57600 20 3 2.1428466663168955837963716973105258910476836830326682324789067454878081059802444382816252E-12
(10+2)(17+3) 57600 20 4 2.536083415150737731042953635526348232570761851637423993259394688870209163314204575311033E-13
(10+2)(17+3) 57600 20 5 3.51665867682996198338185245772575976522383693163834114053960846784397217985949073272592E-14
(10+2)(17+3) 57600 20 6 5.4217024161615001558290930384847321336599146205385051641598403863204182469617589541885E-15
(10+2)(17+3) 57600 20 7 8.610532800003823654528717268470290431975125280501329548912771877051181551210567381650E-16
(10+2)(17+3) 57600 20 8 1.310201499098039498911858172445767892109408276459938015264673685130330704743443879919E-16
(10+2)(17+3) 57600 20 9 1.75715412344711558904182814032586761814887443795169599004680183775784074685227002977E-17
(10+2)(17+3) 57600 20 10 1.8273964379170300746311417278829967452932146362047136355935189175078235834419280472E-18
(10+2)(17+3) 57600 20 11 1.100812539868016886575917447102679058354339604329886463850010932983879154110136765E-19
(10+2)(17+3) 57600 20 12 0
(10+2)(17+3) 57600 20 13 0
(10+2)(17+3) 57600 20 14 0
(10+2)(17+3) 57600 20 15 0
(10+2)(17+3) 57600 20 16 0
(10+2)(17+3) 57600 20 17 0
(10+2)(17+3) 57600 20 18 0
(10+2)(17+3) 57600 20 19 0
(10+2)(17+3) 57600 20 20 0
(10+2)(17+3) 57600 21 1 0
(10+2)(17+3) 57600 21 2 0
(10+2)(17+3) 57600 21 3 4.9314962116058008756380141379064824380846079102366638985155676641241346859286632783449278E-12
(10+2)(17+3) 57600 21 4 5.997697060712251286471691510771942899441541666464483264702755595093184395995224932169040E-13
(10+2)(17+3) 57600 21 5 8.74488316617474943317243347384117734988852537411348366825969630568689972541529071484017E-14
(10+2)(17+3) 57600 21 6 1.45173560275594334708068177030439754710491340736652495700698524794326867618847162888010E-14
(10+2)(17+3) 57600 21 7 2.5536754826931670306286597814846511653376853499465253773436515873752868747789179593491E-15
(10+2)(17+3) 57600 21 8 4.473481341415782990477359380345676911925176921377483339716882514813530012622650499619E-16
(10+2)(17+3) 57600 21 9 7.33856138920689498909085811107637876057141281102185600371828632328514661544153299390E-17
(10+2)(17+3) 57600 21 10 1.04439776329011521024779689282334776697836839189978890815956470671889848142067698536E-17
(10+2)(17+3) 57600 21 11 1.1396131898528911864953215385054642329842661378994232989684612672502493891130194310E-18
(10+2)(17+3) 57600 21 12 7.14306374345897009562302808294176191177476408539073209553932618302416781781425307E-20
(10+2)(17+3) 57600 21 13 0
(10+2)(17+3) 57600 21 14 0
(10+2)(17+3) 57600 21 15 0
(10+2)(17+3) 57600 21 16 0
(10+2)(17+3) 57600 21 17 0
(10+2)(17+3) 57600 21 18 0
(10+2)(17+3) 57600 21 19 0
(10+2)(17+3) 57600 21 20 0
(10+2)(17+3) 57600 21 21 0
(10+2)(17+3) 57600 22 1 0
(10+2)(17+3) 57600 22 2 0
(10+2)(17+3) 57600 22 3 1.07017022340044419814123340282029278922318899541993534543168839379120428326848338992419286E-11
(10+2)(17+3) 57600 22 4 1.3287940955864061426193626185744734140817847704172100085577230408193042566519206873389566E-12
(10+2)(17+3) 57600 22 5 2.014742145918872088350859176048274280725289442808834080872736253171292574898465146839547E-13
(10+2)(17+3) 57600 22 6 3.54394194068955522056011710581040644870158774494534046444160304987966255028830710694868E-14
(10+2)(17+3) 57600 22 7 6.7452123974903354773296976078922724220148219753288179496215085989854214948822495228878E-15
(10+2)(17+3) 57600 22 8 1.3128972236713470307195241640087042378181893846509369610525604568693968272570361294044E-15
(10+2)(17+3) 57600 22 9 2.484835600247765029946742039548154992309387963950463969906581539151667321481978668551E-16
(10+2)(17+3) 57600 22 10 4.33210739445566247629609873112605295955429388862462702104879593058139596877586494215E-17
(10+2)(17+3) 57600 22 11 6.4758303939511121507101941659971036856570360703017038230332784518088460700747933291E-18
(10+2)(17+3) 57600 22 12 7.358414994393940405474343421454398157727965709248358396966195850277323802051835426E-19
(10+2)(17+3) 57600 22 13 4.77179428815879458381498053370135182575652166970738807980832894459776023240188882E-20
(10+2)(17+3) 57600 22 14 0
(10+2)(17+3) 57600 22 15 0
(10+2)(17+3) 57600 22 16 0
(10+2)(17+3) 57600 22 17 0
(10+2)(17+3) 57600 22 18 0
(10+2)(17+3) 57600 22 19 0
(10+2)(17+3) 57600 22 20 0
(10+2)(17+3) 57600 22 21 0
(10+2)(17+3) 57600 22 22 0
(10+2)(17+3) 57600 23 1 0
(10+2)(17+3) 57600 23 2 0
(10+2)(17+3) 57600 23 3 2.20732054096487292698986572958436847602044087562888865509294788104629128743590591607190729E-11
(10+2)(17+3) 57600 23 4 2.7851524560617881582887880320472375261219479164306214290829584784109532650073295299021873E-12
(10+2)(17+3) 57600 23 5 4.355623772119193317638155446208146404349920578557012979721125925739502216654717462289789E-13
(10+2)(17+3) 57600 23 6 8.02348358619117429806103907043801097680856770276701069806310720056378637509138737755457E-14
(10+2)(17+3) 57600 23 7 1.62548715894137974865027689183850377938439097071303162286973668908487509206307007144785E-14
(10+2)(17+3) 57600 23 8 3.4336463435446780591496164623073878136608505457546522918979558536950489727459784942044E-15
(10+2)(17+3) 57600 23 9 7.235508049154767765581945608263039647356331720396352213695090104636335237296967229583E-16
(10+2)(17+3) 57600 23 10 1.457473127661716172306677036493396703350171124862109233547470875451346488765002296314E-16
(10+2)(17+3) 57600 23 11 2.67177012673263111144739969942378843645080347627160573498459004804344711558598125852E-17
(10+2)(17+3) 57600 23 12 4.1622799022605624825896491906399777083751770460593999712395909864377977239198561957E-18
(10+2)(17+3) 57600 23 13 4.896067105583911453479501556434832857237102711845955942167117902301270026825791712E-19
(10+2)(17+3) 57600 23 14 3.26985336934168890503031828580723448298050677459027680761245107607651640806343744E-20
(10+2)(17+3) 57600 23 15 0
(10+2)(17+3) 57600 23 16 0
(10+2)(17+3) 57600 23 17 0
(10+2)(17+3) 57600 23 18 0
(10+2)(17+3) 57600 23 19 0
(10+2)(17+3) 57600 23 20 0
(10+2)(17+3) 57600 23 21 0
(10+2)(17+3) 57600 23 22 0
(10+2)(17+3) 57600 23 23 0
(10+2)(17+3) 57600 24 1 0
(10+2)(17+3) 57600 24 2 0
(10+2)(17+3) 57600 24 3 4.35500565356199636676415849711074045267122391582080575470341927240549438074489236454650147E-11
(10+2)(17+3) 57600 24 4 5.5653754009151700982741469573612876331274307416219970785903070723643455561998503232300509E-12
(10+2)(17+3) 57600 24 5 8.921838221826146898856401245343082050446704012869534177942679511426912312217593532982386E-13
(10+2)(17+3) 57600 24 6 1.706060324501531623256866500196961860646097458999138542911396515233625752874855681247070E-13
(10+2)(17+3) 57600 24 7 3.63512691248834988247885262219453086611899129108985315120236215027181700625694641146728E-14
(10+2)(17+3) 57600 24 8 8.1968741718259329422449928261353022905690928856212101463541173821900893727267833561015E-15
(10+2)(17+3) 57600 24 9 1.8782567334162633319703072074857863414529696502168913252563507771124993902282095143313E-15
(10+2)(17+3) 57600 24 10 4.218317990298503925430207412210538355658634144967373265885558210221959303312156591536E-16
(10+2)(17+3) 57600 24 11 8.94352514559334677760605004712092130532961813194625284511562093504373182081665739800E-17
(10+2)(17+3) 57600 24 12 1.70990269905762309520304904535806605295404092337735844325171586406036060514523308630E-17
(10+2)(17+3) 57600 24 13 2.7591801674153133708293543003152688158080209685839077084812036649941356432154635123E-18
(10+2)(17+3) 57600 24 14 3.344044726328596128556454992926013299789296575870160185717518816256300703007118384E-19
(10+2)(17+3) 57600 24 15 2.29150379385780039073303115889580464027493051982156490657937117435451932551120828E-20
(10+2)(17+3) 57600 24 16 0
(10+2)(17+3) 57600 24 17 0
(10+2)(17+3) 57600 24 18 0
(10+2)(17+3) 57600 24 19 0
(10+2)(17+3) 57600 24 20 0
(10+2)(17+3) 57600 24 21 0
(10+2)(17+3) 57600 24 22 0
(10+2)(17+3) 57600 24 23 0
(10+2)(17+3) 57600 24 24 0
(10+2)(17+3) 57600 25 1 0
(10+2)(17+3) 57600 25 2 0
(10+2)(17+3) 57600 25 3 8.26204969318932119197755941477879816559342130641241464659435152803254401122706337933692230E-11
