data,parity,throughput
16,1,8438.288121
16,2,8586.351022
16,3,8563.558171
16,4,6586.804398
16,5,5569.588908
16,6,5067.379143
16,7,3221.126563
16,8,3344.860028
16,9,3289.356732
16,10,3100.99063
17,1,8459.707641
17,2,9274.868576
17,3,7673.649543
17,4,6347.838505
17,5,5579.588714
17,6,5066.723395
17,7,3179.274738
17,8,3535.819217
17,9,3269.225385
17,10,3072.47264
18,1,7779.857477
18,2,8928.97415
18,3,7598.997986
18,4,6359.685099
18,5,5951.262644
18,6,5014.465966
18,7,3291.70874
18,8,3308.355925
18,9,3465.242455
18,10,3030.736983
19,1,7739.097948
19,2,9013.40363
19,3,8147.416293
19,4,6255.897214
19,5,5350.686501
19,6,5377.171337
19,7,3223.060601
19,8,3290.525239
19,9,3198.730619
19,10,2988.041109
20,1,7532.678364
20,2,8036.654205
20,3,7230.153502
20,4,6139.380234
20,5,5416.504223
20,6,5322.037824
20,7,3185.993934
20,8,3240.356173
20,9,3426.19592
20,10,2994.166146
21,1,7412.364295
21,2,7733.38306
21,3,6856.538922
21,4,5861.70605
21,5,5830.083164
21,6,4836.486744
21,7,3126.837877
21,8,3210.138471
21,9,3138.613819
21,10,2904.225096
22,1,7742.879554
22,2,7755.53675
22,3,7627.92189
22,4,6519.982903
22,5,5645.482451
22,6,4776.088169
22,7,3307.691445
22,8,3202.194693
22,9,3108.917938
22,10,3163.043677
23,1,7671.567999
23,2,7556.968423
23,3,6782.23784
23,4,5856.938231
23,5,5737.815809
23,6,5219.464763
23,7,3095.84414
23,8,3148.59124
23,9,3060.650334
23,10,3087.740436
24,1,7103.332679
24,2,7451.567434
24,3,6795.147468
24,4,5978.975781
24,5,5623.540228
24,6,4950.657553
24,7,3032.157949
24,8,3429.989247
24,9,3035.699659
24,10,2921.855776
25,1,7463.457134
25,2,7482.886195
25,3,6484.662503
25,4,5553.004291
25,5,4964.489999
25,6,4920.854641
25,7,3005.629187
25,8,3072.452665
25,9,3226.111648
25,10,2998.477594
26,1,7541.090971
26,2,7366.649243
26,3,6461.953992
26,4,5347.344711
26,5,4820.446356
26,6,4473.540493
26,7,2925.279646
26,8,3019.336127
26,9,2925.620978
26,10,2753.289374
27,1,7477.679826
27,2,7268.325777
27,3,5999.820121
27,4,5092.497133
27,5,4672.0895
27,6,4548.982505
27,7,2993.478631
27,8,3056.310662
27,9,2945.7155
27,10,2876.583053
28,1,7000.083821
28,2,7204.617966
28,3,5763.056387
28,4,5285.323837
28,5,5113.564444
28,6,4476.847559
28,7,3076.518285
28,8,2981.747445
28,9,2884.535617
28,10,2690.775795
29,1,6729.599008
29,2,7326.556965
29,3,5788.910847
29,4,5205.291377
29,5,4715.708518
29,6,4297.677366
29,7,2852.113765
29,8,2867.976499
29,9,2777.090572
29,10,2595.351853
30,1,7418.324656
30,2,6775.383277
30,3,6091.418999
30,4,5143.541906
30,5,4850.951915
30,6,4261.389122
30,7,2828.574018
30,8,2858.568091
30,9,2754.765589
30,10,2699.220877
31,1,7072.948816
31,2,7340.510876
31,3,6015.801082
31,4,4860.264141
31,5,4471.894296
31,6,3879.401482
31,7,2621.617222
31,8,2674.014309
31,9,2550.977592
31,10,2372.568346
32,1,7178.093835
32,2,7175.386626
32,3,5577.194725
32,4,3942.970348
32,5,3759.731837
32,6,3661.109902
32,7,2433.489812
32,8,2491.892234
32,9,2474.969002
32,10,2191.490152
33,1,7720.514902
33,2,7046.887218
33,3,5215.941556
33,4,3877.252137
33,5,3535.220973
33,6,3277.587756
33,7,2372.299302
33,8,2374.258366
33,9,2268.890923
33,10,2054.830346
34,1,7472.780461
34,2,6342.892735
34,3,5018.484743
34,4,3802.419639
34,5,3374.220498
34,6,3268.576915
34,7,2362.976077
34,8,2429.139219
34,9,2176.107759
34,10,1987.26476
35,1,6998.98016
35,2,6712.800951
35,3,4906.029705
35,4,3670.524113
35,5,3306.488435
35,6,3125.287831
35,7,2291.110612
35,8,2256.763956
35,9,2128.343503
35,10,1951.385984
36,1,7023.179649
36,2,6079.501489
36,3,4845.215539
36,4,3631.411225
36,5,3213.425929
36,6,3045.979483
36,7,2225.177509
36,8,2301.639954
36,9,2077.228809
36,10,1915.579331
37,1,6949.854346
37,2,5968.492783
37,3,4835.311127
37,4,3747.024182
37,5,3105.820854
37,6,3128.799996
37,7,2188.46341
37,8,2189.407532
37,9,2060.312808
37,10,1871.678518
38,1,6579.113732
38,2,6147.706158
38,3,4780.863425
38,4,3523.232524
38,5,3045.817451
38,6,2939.127353
38,7,2219.578698
38,8,2113.672243
38,9,2025.976405
38,10,1825.843407
39,1,6581.268949
39,2,5920.026089
39,3,4752.332259
39,4,3458.208294
39,5,3002.021265
39,6,3014.596453
39,7,2157.446639
39,8,2179.467816
39,9,2000.429436
39,10,1835.184572
40,1,6778.929643
40,2,6051.005622
40,3,4851.103904
40,4,3408.512511
40,5,2994.833564
40,6,2880.283128
40,7,2113.533196
40,8,2139.211642
40,9,2039.780907
40,10,1809.37489
41,1,6532.748808
41,2,5809.237711
41,3,4778.590239
41,4,3426.272262
41,5,3039.929087
41,6,2870.916113
41,7,2122.303163
41,8,2084.892732
41,9,2009.211706
41,10,1795.262949
42,1,6626.619532
42,2,5796.776125
42,3,4501.521829
42,4,3374.28829
42,5,2895.547155
42,6,2827.883689
42,7,2098.270218
42,8,2083.271054
42,9,1939.403671
42,10,1789.028785
